Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
0,41.0,False,0.41,0.0,12,1.0,False,0.01,0.12,53,43.0,False,0.43,22.79,74,46.0,False,0.46,34.04,96,22.0,False,0.22,21.12
62,41.0,,0.41,25.419999999999998,100,1.0,,0.01,1.0,64,43.0,,0.43,27.52,72,46.0,,0.46,33.120000000000005,56,22.0,,0.22,12.32
93,41.0,,0.41,38.129999999999995,67,1.0,,0.01,0.67,70,43.0,,0.43,30.099999999999998,98,46.0,,0.46,45.080000000000005,87,22.0,,0.22,19.14
31,41.0,,0.41,12.709999999999999,11,1.0,,0.01,0.11,57,43.0,,0.43,24.509999999999998,95,46.0,,0.46,43.7,71,22.0,,0.22,15.62
30,41.0,,0.41,12.299999999999999,22,1.0,,0.01,0.22,41,43.0,,0.43,17.63,71,46.0,,0.46,32.660000000000004,20,22.0,,0.22,4.4
62,41.0,,0.41,25.419999999999998,44,1.0,,0.01,0.44,41,43.0,,0.43,17.63,65,46.0,,0.46,29.900000000000002,56,22.0,,0.22,12.32
67,41.0,,0.41,27.47,36,1.0,,0.01,0.36,59,43.0,,0.43,25.37,79,46.0,,0.46,36.34,50,22.0,,0.22,11.0
34,28.0,False,0.28,9.520000000000001,36,0.0,False,0.0,0.0,52,47.0,False,0.47,24.439999999999998,90,43.0,False,0.43,38.7,34,20.0,False,0.2,6.800000000000001
0,28.0,,0.28,0.0,21,0.0,,0.0,0.0,40,47.0,,0.47,18.799999999999997,81,43.0,,0.43,34.83,20,20.0,,0.2,4.0
60,28.0,,0.28,16.8,43,0.0,,0.0,0.0,56,47.0,,0.47,26.32,90,43.0,,0.43,38.7,65,20.0,,0.2,13.0
31,28.0,,0.28,8.680000000000001,55,0.0,,0.0,0.0,32,47.0,,0.47,15.04,67,43.0,,0.43,28.81,41,20.0,,0.2,8.200000000000001
63,28.0,,0.28,17.64,34,0.0,,0.0,0.0,58,47.0,,0.47,27.259999999999998,66,43.0,,0.43,28.38,42,20.0,,0.2,8.4
0,28.0,,0.28,0.0,23,0.0,,0.0,0.0,49,47.0,,0.47,23.029999999999998,64,43.0,,0.43,27.52,47,20.0,,0.2,9.4
0,28.0,,0.28,0.0,25,0.0,,0.0,0.0,60,47.0,,0.47,28.2,79,43.0,,0.43,33.97,51,20.0,,0.2,10.200000000000001
100,21.0,False,0.21,21.0,36,1.0,False,0.01,0.36,100,44.0,False,0.44,44.0,73,38.0,False,0.38,27.740000000000002,39,16.0,False,0.16,6.24
61,21.0,,0.21,12.809999999999999,44,1.0,,0.01,0.44,38,44.0,,0.44,16.72,63,38.0,,0.38,23.94,46,16.0,,0.16,7.36
30,21.0,,0.21,6.3,22,1.0,,0.01,0.22,41,44.0,,0.44,18.04,63,38.0,,0.38,23.94,60,16.0,,0.16,9.6
60,21.0,,0.21,12.6,75,1.0,,0.01,0.75,74,44.0,,0.44,32.56,60,38.0,,0.38,22.8,59,16.0,,0.16,9.44
